Stock/Index,Open,High,Low,Close,Adj Close,Volume,Date
HDFC Bank,1633.949951,1636.5,1624.5,1632.050049,1610.07605,389475,11-09-2023
HDFC Bank,1641,1642.449951,1624,1636.800049,1614.762085,647572,12-09-2023
HDFC Bank,1634,1651.599976,1629.400024,1643.849976,1621.717163,191918,13-09-2023
HDFC Bank,1644,1650,1635.099976,1641.5,1619.398804,914221,14-09-2023
HDFC Bank,1645.599976,1669.25,1645.599976,1661.900024,1639.52417,420909,15-09-2023
HDFC Bank,1655,1655,1626.199951,1629.050049,1607.116455,369395,18-09-2023
HDFC Bank,1599,1599,1560.599976,1563.900024,1542.843628,1922144,20-09-2023
HDFC Bank,1560,1569,1538.050049,1553.599976,1532.682251,1236145,21-09-2023
HDFC Bank,1557,1564.150024,1524,1529.199951,1508.610718,1103048,22-09-2023
HDFC Bank,1528,1540.800049,1525.699951,1531.699951,1511.077148,306624,25-09-2023
HDFC Bank,1526.949951,1539.5,1525.400024,1537.650024,1516.947021,494200,26-09-2023
HDFC Bank,1529.849976,1532.75,1515.349976,1527.199951,1506.637695,616804,27-09-2023
HDFC Bank,1535.300049,1537.800049,1520,1522.949951,1502.444946,462267,28-09-2023
HDFC Bank,1524,1535.5,1522.949951,1526.550049,1505.996582,196830,29-09-2023
HDFC Bank,1526.550049,1527,1506,1507.949951,1487.646851,611769,03-10-2023
HDFC Bank,1500,1535.400024,1488.650024,1530.800049,1510.189331,535059,04-10-2023
HDFC Bank,1536.699951,1551.900024,1533.949951,1535.849976,1515.171265,1539282,05-10-2023
HDFC Bank,1545.949951,1545.949951,1530.75,1534.150024,1513.494141,544555,06-10-2023
HDFC Bank,1529,1529,1512.349976,1516.150024,1495.736572,367091,09-10-2023
HDFC Bank,1521,1528.949951,1515.300049,1524.599976,1504.072754,108219,10-10-2023
HDFC Bank,1539.5,1542.349976,1529,1538.599976,1517.884155,1089099,11-10-2023
HDFC Bank,1538,1552,1531.650024,1549.849976,1528.982788,319472,12-10-2023
HDFC Bank,1541.400024,1548.699951,1530,1536.75,1516.059204,1179508,13-10-2023
HDFC Bank,1536.699951,1536.699951,1522,1529.5,1508.906738,589621,16-10-2023
HDFC Bank,1558,1558,1535,1541.349976,1520.597168,366832,17-10-2023
HDFC Bank,1541.949951,1541.949951,1518.150024,1519.699951,1499.238647,443038,18-10-2023
HDFC Bank,1507,1526.25,1503.349976,1514.949951,1494.552612,575167,19-10-2023
HDFC Bank,1502.25,1527,1502.25,1523.050049,1502.543701,848642,20-10-2023
HDFC Bank,1525,1528.949951,1500.349976,1505.800049,1485.525879,337037,23-10-2023
HDFC Bank,1522,1522,1491.5,1496.550049,1476.400391,289287,25-10-2023
HDFC Bank,1495,1495,1460.550049,1463.5,1443.79541,1139500,26-10-2023
HDFC Bank,1473.449951,1478.449951,1467,1469.550049,1449.764038,1166916,27-10-2023
HDFC Bank,1465,1489.900024,1462.150024,1484.900024,1464.907227,382441,30-10-2023
HDFC Bank,1500.050049,1500.5,1474,1476.699951,1456.817627,136966,31-10-2023
HDFC Bank,1465,1477.5,1463.550049,1474.75,1454.893921,305922,01-11-2023
HDFC Bank,1488,1490.800049,1470.25,1476.849976,1456.965576,149155,02-11-2023
HDFC Bank,1488,1491.449951,1481,1483.550049,1463.575439,1061846,03-11-2023
HDFC Bank,1498.800049,1498.800049,1483.550049,1494.199951,1474.082031,348983,06-11-2023
HDFC Bank,1496.949951,1496.949951,1477.199951,1488.599976,1468.557373,408634,07-11-2023
HDFC Bank,1487.900024,1493.25,1480.5,1491.199951,1471.122437,322820,08-11-2023
HDFC Bank,1488.949951,1492.800049,1483.699951,1487.199951,1467.17627,289296,09-11-2023
HDFC Bank,1484.349976,1496.75,1480.900024,1490.449951,1470.382446,600868,10-11-2023
HDFC Bank,1490.349976,1496,1485.949951,1489.150024,1469.100098,608994,13-11-2023
HDFC Bank,1500,1510.949951,1500,1504.300049,1484.046143,357471,15-11-2023
HDFC Bank,1510,1519.300049,1504.300049,1508.349976,1488.041504,412610,16-11-2023
HDFC Bank,1498.849976,1507.550049,1489.199951,1505.050049,1484.786011,616783,17-11-2023
HDFC Bank,1512,1512.949951,1501.550049,1505.150024,1484.884644,339684,20-11-2023
HDFC Bank,1512.050049,1521.949951,1511.349976,1517.650024,1497.216309,123128,21-11-2023
HDFC Bank,1513.099976,1519.5,1503.599976,1512.349976,1491.987671,98764,22-11-2023
HDFC Bank,1509.800049,1523.699951,1509,1521.75,1501.261108,141371,23-11-2023
HDFC Bank,1521.75,1533.849976,1520,1532.050049,1511.422485,1003759,24-11-2023
HDFC Bank,1535,1537.849976,1525.349976,1529.599976,1509.005371,170651,28-11-2023
HDFC Bank,1533.199951,1562.5,1533.199951,1559.25,1538.256226,623499,29-11-2023
HDFC Bank,1565.449951,1570.099976,1542.099976,1559,1538.009521,425322,30-11-2023
HDFC Bank,1559,1565.550049,1551.599976,1555.5,1534.556641,1238082,01-12-2023
HDFC Bank,1590,1612,1572.949951,1609.050049,1587.385742,2254759,04-12-2023
HDFC Bank,1622,1636.5,1617,1623.449951,1601.591797,482076,05-12-2023
HDFC Bank,1636.900024,1636.900024,1616.900024,1627.199951,1605.29126,136308,06-12-2023
HDFC Bank,1627.199951,1634.25,1616,1630.599976,1608.645508,117119,07-12-2023
HDFC Bank,1630.599976,1655,1630.599976,1653.099976,1630.842529,1470459,08-12-2023
HDFC Bank,1659.949951,1664.099976,1646.650024,1650.75,1628.524292,1345277,11-12-2023
HDFC Bank,1652.550049,1656.949951,1631.349976,1634.5,1612.493042,264768,12-12-2023
HDFC Bank,1633.650024,1636.25,1615.199951,1631.599976,1609.63208,135396,13-12-2023
HDFC Bank,1644,1658.5,1644,1649.949951,1627.734985,431339,14-12-2023
HDFC Bank,1655.199951,1666.550049,1646.300049,1656.300049,1633.999512,669526,15-12-2023
HDFC Bank,1660,1664.5,1650.699951,1656,1633.703613,1054348,18-12-2023
HDFC Bank,1646,1658.150024,1644,1653.050049,1630.793335,271563,19-12-2023
HDFC Bank,1655.199951,1668.550049,1644.199951,1656.199951,1633.900879,886915,20-12-2023
HDFC Bank,1651.699951,1689.849976,1649.449951,1686.400024,1663.694336,314004,21-12-2023
HDFC Bank,1686.349976,1686.349976,1666.900024,1670.699951,1648.205566,1068307,22-12-2023
HDFC Bank,1670.800049,1685.949951,1668.699951,1683.099976,1660.438721,167186,26-12-2023
HDFC Bank,1684.150024,1706.099976,1679.300049,1702.849976,1679.922729,609670,27-12-2023
HDFC Bank,1710,1721.699951,1701.150024,1705.199951,1682.241089,452549,28-12-2023
HDFC Bank,1701.949951,1715.599976,1695.050049,1709.650024,1686.631226,917530,29-12-2023
ICICI Bank,892.2999878,906.5999756,892.2999878,903,887.9901123,192016,02-01-2023
ICICI Bank,898,905.6500244,896.6500244,901.7999878,886.8100586,119824,03-01-2023
ICICI Bank,899.0499878,907.8499756,894.9000244,898.9500122,884.0074463,216652,04-01-2023
ICICI Bank,902,902,872,879,864.3890381,161040,05-01-2023
ICICI Bank,879.7999878,879.7999878,860.4500122,870.2000122,855.7353516,117968,06-01-2023
ICICI Bank,875,878.5999756,862.2999878,873.7999878,859.2755127,692088,09-01-2023
ICICI Bank,877,877.75,856.25,860.4500122,846.1473999,339298,10-01-2023
ICICI Bank,863.4000244,877.5,854.6500244,867.8499756,853.4243774,2771039,11-01-2023
ICICI Bank,864.1500244,868.0999756,855,861.2000122,846.8849487,262276,12-01-2023
ICICI Bank,864.25,874.9500122,858.2999878,873.25,858.7346191,195515,13-01-2023
ICICI Bank,876.0999756,877.5999756,861.75,865.5499878,851.1625977,92346,16-01-2023
ICICI Bank,865.5499878,867.7000122,858,865.5,851.1134644,178296,17-01-2023
ICICI Bank,863.5999756,871.5,858.75,869.4500122,854.9978027,167380,18-01-2023
ICICI Bank,869,870.5,862,866.2999878,851.9001465,68985,19-01-2023
ICICI Bank,873,875.7999878,865.5499878,870.4000244,855.9320068,169087,20-01-2023
ICICI Bank,883.9000244,883.9000244,865.0499878,871.5499878,857.0628662,490627,23-01-2023
ICICI Bank,877.25,881.2000122,868.0499878,870.7999878,856.3253784,107692,24-01-2023
ICICI Bank,873,875.9000244,848.1500244,855.2999878,841.0830078,191551,25-01-2023
ICICI Bank,841,841,813.5499878,817.5499878,803.9604492,612868,27-01-2023
ICICI Bank,801.5499878,826,796.0999756,823.2000122,809.5166016,806638,30-01-2023
ICICI Bank,825,838.25,814.7000122,831.6500244,817.8261108,246535,31-01-2023
ICICI Bank,842.9000244,875.25,823.5499878,846.6500244,832.5767822,8271907,01-02-2023
ICICI Bank,838.9500122,860.5999756,826.5999756,857.4500122,843.1972656,265462,02-02-2023
ICICI Bank,870,872.7000122,852.0999756,863.75,849.3925171,182430,03-02-2023
ICICI Bank,863.5,867.2999878,850,853.5499878,839.3621216,114950,06-02-2023
ICICI Bank,853.6500244,855.8499756,847.4000244,851.7000122,837.5428467,109369,07-02-2023
ICICI Bank,851.7999878,860.6500244,851.7999878,858.7000122,844.4265137,78813,08-02-2023
ICICI Bank,858,864.6500244,853.6500244,860.9500122,846.6390991,61426,09-02-2023
ICICI Bank,859,861.9000244,852.2000122,853.75,839.5587769,106759,10-02-2023
ICICI Bank,852.3499756,859.0499878,849.2000122,850.2999878,836.1660767,77561,13-02-2023
ICICI Bank,852.75,867,852.75,865.4000244,851.0151367,261560,14-02-2023
ICICI Bank,865.5999756,873,860.4000244,870.7999878,856.3253784,219886,15-02-2023
ICICI Bank,875.0999756,877.7999878,865,869.1500244,854.7028198,299411,16-02-2023
ICICI Bank,869.1500244,869.1500244,855.3499756,862.25,847.9174805,104083,17-02-2023
ICICI Bank,863.4000244,866.4000244,850.4500122,852.0999756,837.9361572,88728,20-02-2023
ICICI Bank,854,859.4500122,846.7000122,854.0499878,839.8537598,185220,21-02-2023
ICICI Bank,847.0499878,853.2999878,835.4500122,838.3499756,824.4146729,604142,22-02-2023
ICICI Bank,834,844,833.5499878,840.0999756,826.1356812,112382,23-02-2023
ICICI Bank,844,845.4000244,836,839.6500244,825.6931763,109418,24-02-2023
ICICI Bank,834,858.4500122,834,856.4000244,842.1647339,126390,27-02-2023
ICICI Bank,856.2999878,857.8499756,850.0499878,854.6500244,840.4437866,159604,28-02-2023
ICICI Bank,861.5499878,861.9000244,852,856.0499878,841.8204956,95709,01-03-2023
ICICI Bank,854.2999878,861.8499756,851,853.9500122,839.7554321,89942,02-03-2023
ICICI Bank,855.0499878,873,849.8499756,868.7999878,854.3585815,177353,03-03-2023
ICICI Bank,873.7999878,876.5,865.5999756,867.9500122,853.5227661,165396,06-03-2023
ICICI Bank,865.6500244,874,861.4000244,872.25,857.7512817,169638,08-03-2023
ICICI Bank,869.7000122,869.7000122,854.1500244,856.0499878,841.8204956,251093,09-03-2023
ICICI Bank,845.9000244,845.9000244,836.2999878,842.7999878,828.7907715,190751,10-03-2023
ICICI Bank,840,855,823.7999878,827.4500122,813.6959839,333169,13-03-2023
ICICI Bank,826.9000244,834.25,818.5,830.6500244,816.8427734,181422,14-03-2023
ICICI Bank,839.5999756,843.5,822,825.1500244,811.4342041,176138,15-03-2023
ICICI Bank,825.0999756,831.1500244,810.5,823.5499878,809.8607178,187447,16-03-2023
ICICI Bank,830,838.5,818.75,836.4500122,822.5463257,101080,17-03-2023
ICICI Bank,835.1500244,837.7999878,824.9500122,836.5,822.59552,206076,20-03-2023
ICICI Bank,844,854,839.0499878,852.3499756,838.1820068,212316,21-03-2023
ICICI Bank,855,862,851.2999878,859.9000244,845.6065674,129058,22-03-2023
ICICI Bank,857,867.25,853.1500244,855.9000244,841.6730347,149532,23-03-2023
ICICI Bank,846.3499756,859.7000122,846.3499756,852.0499878,837.8870239,165289,24-03-2023
ICICI Bank,853.5,855.7000122,844.25,848.1500244,834.0518188,204919,27-03-2023
ICICI Bank,852.3499756,858.5,848.5,855.1500244,840.9355469,154183,28-03-2023
ICICI Bank,856,861.8499756,848.0499878,851,836.8544312,273290,29-03-2023
ICICI Bank,855.0499878,880.9000244,855.0499878,877.2000122,862.6189575,529617,31-03-2023
ICICI Bank,877.5999756,886.25,869,884.25,869.5518188,159793,03-04-2023
ICICI Bank,882.0999756,887.5,874.0499878,884.4000244,869.6993408,233918,05-04-2023
ICICI Bank,882.9000244,889.9500122,872.8499756,874.6500244,860.1113892,201887,06-04-2023
ICICI Bank,877.3499756,882.6500244,864.4500122,868.2999878,853.8668823,157821,10-04-2023
ICICI Bank,869.2000122,885,865.4000244,882.5999756,867.9291992,295214,11-04-2023
ICICI Bank,881.5499878,891.6500244,880.5999756,889.9500122,875.1570435,299237,12-04-2023
ICICI Bank,890.0999756,901.4500122,887.4500122,899.25,884.3024292,240662,13-04-2023
